LOCATIONS	Type	Area	Street	Position	SpeedZone_Radius	SpeedZone_Speed	Region	Dispatchmessage	Music
17	BeachScene	AREA_VESPUCCI_BEACH_01	Vespucci Beach	-1460.925f, -1491.310f, 2.034f	80f	8f	1	Lifegurards report a 10-33 at	0
18	BeachScene	AREA_EL_BURRO_HEIGHTS_01	El Burro Beach	1265.187f, -2717.728f, 2.097f	80f	8f	1	Lifegurards report a 10-33 at	0
19	RunOver	AREA_HAWICK_01	Spanish Ave	197.050f, -44.891f, 68.490f	80f	8f	1	Backup requested, 10-57 at	0
20	RunOver	AREA_VESPUCCI_01	Magellan Ave	-1296.696f, -1138.873f, 5.432f	80f	8f	1	Backup requested, 10-57 at	0
21	RunOver	AREA_DEL_PERRO_02	Cougar Ave	-1631.315f, -438.017f, 38.695f	80f	8f	1	Backup requested, 10-57 at	0
22	RunOver	AREA_PILLBOX_HILL_01	San Andreas Ave	193.365f, -806.784f, 31.053f	80f	8f	1	Backup requested, 10-57 at	0
23	RunOver	AREA_GRAPESEED_01	Main Street	1672.352f, 4842.334f, 41.774f	80f	8f	2	Backup requested, 10-57 at	0
24	RunOver	AREA_MOUNT_CHILLIAD_01	North Calafia Way	849.619f, 4332.132f, 51.697f	80f	8f	2	Backup requested, 10-57 at	0
25	RunOver	AREA_HARMONY_01	US Route 68	595.182f, 2731.190f, 42.018f	80f	8f	2	Backup requested, 10-57 at	0
26	RunOver	AREA_GRAPESEED_01	East Joshua Road	2490.199f, 4087.419f, 38.028f	80f	8f	2	Backup requested, 10-57 at	0
27	RunOver	AREA_PALETO_FOREST_01	Procopio Promenade	-721.776f, 5783.615f, 17.868f	80f	8f	3	Backup requested, 10-57 at	0
28	RunOver	AREA_MOUNT_CHILLIAD_01	US Route 13	1695.102f, 6404.390f, 32.089f	80f	8f	3	Backup requested, 10-57 at	0
29	RunOver	AREA_THE_CHILLIAD_MOUNTAIN_STATE_WILDERNESS_01	US Route 1	-1525.297f, 4920.376f, 66.648f	80f	8f	3	Backup requested, 10-57 at	0
30	RunOver	AREA_PALETO_BAY_01	Cascabel Ave	-94.168f, 6430.299f, 31.356f	80f	8f	3	Backup requested, 10-57 at	0
31	Disturbance	AREA_VINEWOOD_HILLS_01	North Sheldon Ave	-960.665f, 802.342f, 177.430f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_01.wav
32	Disturbance	AREA_RICHMAN_01	Rockford Drive	-1957.251f, 351.642f, 90.761f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_02.wav
33	Disturbance	AREA_VINEWOOD_HILLS_01	Whispymound Drive	28.611f, 564.187f, 178.758f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_03.wav
34	Disturbance	AREA_MIRROR_PARK_01	W Mirror Drive	909.33f, -495.73f, 58.55f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_04.wav
35	Disturbance	AREA_PACIFIC_BLUFFS_01	Interstate 2	-1898.226f, -556.283f, 11.741f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_05.wav
36	Disturbance	AREA_BANHAM_CANYON_01	US Route 1	-3025.912f, 718.948f, 22.857f	80f	8f	1	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_06.wav
37	Disturbance	AREA_PALETO_BAY_01	Procopio Drive	-228.124f, 6414.138f, 31.355f	80f	8f	3	We have 10-15 at	\lspdfr\audio\LPCallouts Audio\NoiseComplaint\music_07.wav
									
OBJECTS	HitModel	ModelName	Heading	Position					
1	TRUE	prop_mp_cone_03	 99.459f	-1040.806f, 1182.763f, 216.031f					
1	TRUE	prop_mp_cone_03	 99.459f	-1043.510f, 1182.324f, 215.921f					
1	TRUE	prop_mp_cone_03	 99.459f	-1046.864f, 1181.791f, 215.780f					
1	TRUE	prop_mp_cone_03	 99.459f	-1050.913f, 1181.065f, 215.599f					
1	TRUE	prop_mp_cone_03	 99.459f	-1054.713f, 1180.270f, 215.422f					
1	TRUE	prop_mp_cone_03	 99.459f	-1058.081f, 1179.316f, 215.252f					
1	TRUE	prop_mp_cone_03	 99.459f	-1061.680f, 1178.175f, 215.062f					
1	TRUE	prop_mp_cone_03	 99.459f	-1065.587f, 1176.875f, 214.850f					
1	TRUE	prop_mp_cone_03	 99.459f	-1069.410f, 1175.882f, 214.634f					
2	TRUE	prop_mp_cone_03	128.012f	2340.113f, 5225.933f, 58.979f					
2	TRUE	prop_mp_cone_03	128.012f	2337.552f, 5222.913f, 58.960f					
2	TRUE	prop_mp_cone_03	128.012f	2335.175f, 5219.979f, 58.950f					
2	TRUE	prop_mp_cone_03	128.012f	2332.913f, 5218.246f, 58.938f					
2	TRUE	prop_mp_cone_03	128.012f	2330.367f, 5216.373f, 58.924f					
2	TRUE	prop_mp_cone_03	128.012f	2328.202f, 5214.682f, 58.914f					
2	TRUE	prop_mp_cone_03	128.012f	2326.055f, 5213.000f, 58.905f					
2	TRUE	prop_mp_cone_03	128.012f	2323.768f, 5211.207f, 58.898f					
2	TRUE	prop_mp_cone_03	128.012f	2319.862f, 5209.357f, 58.879f					
3	TRUE	prop_mp_cone_03	155.706f	-1283.026f, 5270.815f, 50.479f					
3	TRUE	prop_mp_cone_03	155.706f	-1283.888f, 5268.502f, 50.576f					
3	TRUE	prop_mp_cone_03	155.706f	-1284.801f, 5266.769f, 50.664f					
3	TRUE	prop_mp_cone_03	155.706f	-1285.964f, 5264.557f, 50.777f					
3	TRUE	prop_mp_cone_03	155.706f	-1287.355f, 5261.302f, 50.935f					
3	TRUE	prop_mp_cone_03	155.706f	-1290.270f, 5257.699f, 51.183f					
3	TRUE	prop_mp_cone_03	155.706f	-1292.982f, 5255.065f, 51.431f					
3	TRUE	prop_mp_cone_03	155.706f	-1295.172f, 5252.679f, 51.669f					
3	TRUE	prop_mp_cone_03	155.706f	-1297.993f, 5249.367f, 51.994f					
4	TRUE	prop_roadcone01a	191.394f	1223.192f, 1300.234f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1224.539f, 1295.803f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1225.719f, 1291.308f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1226.683f, 1286.505f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1227.254f, 1281.574f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1227.725f, 1275.996f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1211.605f, 1314.603f, 143.5f					
4	TRUE	prop_roadcone01a	191.394f	1214.003f, 1312.392f, 143.5f					
4	TRUE	prop_roadcone01a	191.394f	1216.788f, 1309.806f, 142.5f					
4	TRUE	prop_roadcone01a	191.394f	1219.312f, 1306.938f, 142.5f					
5	TRUE	prop_roadcone02a	350.322f	-231.900f, 3875.040f, 36.889f					
5	TRUE	prop_roadcone02a	350.322f	-231.700f, 3878.419f, 36.631f					
5	TRUE	prop_roadcone02a	350.322f	-231.859f, 3881.216f, 36.524f					
5	TRUE	prop_roadcone02a	350.322f	-231.699f, 3883.954f, 36.416f					
5	TRUE	prop_roadcone02a	350.322f	-231.751f, 3887.103f, 36.423f					
5	TRUE	prop_roadcone02a	350.322f	-231.476f, 3890.135f, 36.420f					
5	TRUE	prop_roadcone02a	350.322f	-222.974f, 3890.081f, 36.702f					
5	TRUE	prop_roadcone02a	350.322f	-223.061f, 3887.224f, 36.700f					
5	TRUE	prop_roadcone02a	350.322f	-223.028f, 3884.574f, 36.694f					
5	TRUE	prop_roadcone02a	350.322f	-223.064f, 3881.370f, 36.733f					
6	TRUE	prop_roadcone02a	301.989f	-1304.682f, 4618.526f, 117.057f					
6	TRUE	prop_roadcone02a	301.989f	-1303.465f, 4619.642f, 116.875f					
6	TRUE	prop_roadcone02a	301.989f	-1302.223f, 4620.642f, 116.475f					
6	TRUE	prop_roadcone02a	301.989f	-1300.020f, 4621.812f, 116.996f					
6	TRUE	prop_roadcone02a	301.989f	-1298.890f, 4622.862f, 117.280f					
6	TRUE	prop_roadcone02a	301.989f	-1245.958f, 4614.029f, 130.446f					
6	TRUE	prop_roadcone02a	301.989f	-1244.962f, 4612.869f, 130.385f					
6	TRUE	prop_roadcone02a	301.989f	-1243.819f, 4611.540f, 130.256f					
6	TRUE	prop_roadcone02a	301.989f	-1242.980f, 4610.563f, 130.397f					
6	TRUE	prop_roadcone02a	301.989f	-1241.744f, 4609.129f, 130.815f					
7	TRUE	prop_roadcone02a	76.788f	-2011.501f, 1921.370f, 185.5f					
7	TRUE	prop_roadcone02a	76.788f	-2015.077f, 1922.078f, 185.5f					
7	TRUE	prop_roadcone02a	76.788f	-2019.623f, 1922.931f, 185.5f					
7	TRUE	prop_roadcone02a	76.788f	-2024.985f, 1923.965f, 185.5f					
7	TRUE	prop_roadcone02a	76.788f	-2030.752f, 1925.325f, 185.5f					
7	TRUE	prop_roadcone02a	76.788f	-2035.248f, 1926.934f, 186f					
7	TRUE	prop_roadcone02a	76.788f	-2039.782f, 1928.948f, 186f					
7	TRUE	prop_roadcone02a	76.788f	-2045.627f, 1932.491f, 186f					
8	TRUE	prop_mp_cone_03	226.600f	3009.770f, 3389.580f, 72.441f					
8	TRUE	prop_mp_cone_03	226.600f	3013.500f, 3386.681f, 72.760f					
8	TRUE	prop_mp_cone_03	226.600f	3017.679f, 3382.841f, 73.180f					
8	TRUE	prop_mp_cone_03	226.600f	3020.521f, 3380.441f, 73.441f					
8	TRUE	prop_mp_cone_03	226.600f	3023.257f, 3378.357f, 73.685f					
8	TRUE	prop_mp_cone_03	226.600f	3026.279f, 3376.092f, 73.963f					
8	TRUE	prop_mp_cone_03	226.600f	3029.919f, 3373.048f, 74.280f					
8	TRUE	prop_mp_cone_03	226.600f	3033.528f, 3370.115f, 74.557f					
9	TRUE	prop_mp_cone_03	226.600f	-2074.077f, 4449.037f, 58.123f					
9	TRUE	prop_mp_cone_03	226.600f	-2070.408f, 4450.271f, 57.891f					
9	TRUE	prop_mp_cone_03	226.600f	-2066.139f, 4452.290f, 57.617f					
9	TRUE	prop_mp_cone_03	226.600f	-2062.811f, 4453.991f, 57.410f					
9	TRUE	prop_mp_cone_03	226.600f	-2059.576f, 4455.631f, 57.238f					
9	TRUE	prop_mp_cone_03	226.600f	-2056.677f, 4457.335f, 57.086f					
9	TRUE	prop_mp_cone_03	226.600f	-2053.018f, 4459.554f, 56.903f					
9	TRUE	prop_mp_cone_03	226.600f	-2049.332f, 4462.107f, 56.743f					
10	TRUE	prop_roadcone02c	273.653f	1912.471f, -1286.550f, 129.482f					
10	TRUE	prop_roadcone02c	273.653f	1912.158f, -1282.678f, 128.903f					
10	TRUE	prop_roadcone02c	273.653f	1911.570f, -1279.442f, 128.417f					
10	TRUE	prop_roadcone02c	273.653f	1910.883f, -1275.452f, 127.805f					
10	TRUE	prop_roadcone02c	273.653f	1910.144f, -1271.446f, 127.182f					
10	TRUE	prop_roadcone02c	273.653f	1909.376f, -1267.600f, 126.560f					
10	TRUE	prop_roadcone02c	273.653f	1908.995f, -1263.783f, 125.908f					
10	TRUE	prop_roadcone02c	273.653f	1908.486f, -1259.526f, 125.180f					
10	TRUE	prop_roadcone02c	273.653f	1907.726f, -1254.351f, 124.283f					
10	TRUE	prop_roadcone02c	273.653f	1907.236f, -1250.419f, 123.588f					
10	TRUE	prop_roadcone02c	273.653f	1898.615f, -1278.038f, 127.916f					
10	TRUE	prop_roadcone02c	273.653f	1898.886f, -1280.223f, 128.239f					
10	TRUE	prop_roadcone02c	273.653f	1899.218f, -1282.391f, 128.553f					
10	TRUE	prop_roadcone02c	273.653f	1899.738f, -1284.930f, 128.937f					
10	TRUE	prop_roadcone02c	273.653f	1900.054f, -1287.129f, 129.247f					
10	TRUE	prop_roadcone02c	273.653f	1900.348f, -1289.664f, 129.592f					
11	TRUE	prop_mp_cone_01	 100.164f	-937.073f, 2763.698f, 24.187f					
11	TRUE	prop_mp_cone_01	 100.164f	-941.029f, 2762.754f, 24.280f					
11	TRUE	prop_mp_cone_01	 100.164f	-944.203f, 2762.021f, 24.352f					
11	TRUE	prop_mp_cone_01	 100.164f	-947.882f, 2761.171f, 24.418f					
11	TRUE	prop_mp_cone_01	 100.164f	-952.107f, 2760.101f, 24.486f					
11	TRUE	prop_mp_cone_01	 100.164f	-955.981f, 2759.248f, 24.522f					
11	TRUE	prop_mp_cone_01	 100.164f	-996.708f, 2757.493f, 24.545f					
11	TRUE	prop_mp_cone_01	 100.164f	-961.130f, 2758.320f, 24.545f					
11	TRUE	prop_mp_cone_01	 100.164f	-964.918f, 2757.668f, 24.547f					
11	TRUE	prop_mp_cone_01	 100.164f	-969.373f, 2756.903f, 24.526f					
11	TRUE	prop_mp_cone_01	 100.164f	-974.326f, 2755.976f, 24.479f					
11	TRUE	prop_mp_cone_01	 100.164f	-978.928f, 2754.969f, 24.413f					
11	TRUE	prop_mp_cone_01	 100.164f	-982.706f, 2754.744f, 24.350f					
11	TRUE	prop_mp_cone_01	 100.164f	-986.435f, 2755.088f, 24.276f					
11	TRUE	prop_mp_cone_01	 100.164f	-990.475f, 2755.210f, 24.185f					
11	TRUE	prop_mp_cone_01	 100.164f	-994.525f, 2755.421f, 24.094f					
12	TRUE	prop_mp_cone_01	200.931f	-847.244f, 5265.395f, 85.806f					
12	TRUE	prop_mp_cone_01	200.931f	-847.091f, 5263.264f, 85.841f					
12	TRUE	prop_mp_cone_01	200.931f	-846.903f, 5261.711f, 85.863f					
12	TRUE	prop_mp_cone_01	200.931f	-846.698f, 5260.026f, 85.861f					
12	TRUE	prop_mp_cone_01	200.931f	-845.896f, 5253.608f, 85.861f					
12	TRUE	prop_mp_cone_01	200.931f	-846.526f, 5258.603f, 85.836f					
12	TRUE	prop_mp_cone_01	200.931f	-846.371f, 5257.329f, 85.826f					
12	TRUE	prop_mp_cone_01	200.931f	-846.177f, 5255.765f, 85.811f					
12	TRUE	prop_mp_cone_01	200.931f	-758.048f, 5266.953f, 91.344f					
12	TRUE	prop_mp_cone_01	200.931f	-757.112f, 5264.577f, 91.469f					
12	TRUE	prop_mp_cone_01	200.931f	-755.882f, 5261.359f, 91.764f					
12	TRUE	prop_mp_cone_01	200.931f	-755.084f, 5259.270f, 92.030f					
12	TRUE	prop_mp_cone_01	200.931f	-754.239f, 5257.059f, 92.283f					
12	TRUE	prop_mp_cone_01	200.931f	-753.123f, 5254.755f, 92.669f					
12	TRUE	prop_mp_cone_01	200.931f	-751.980f, 5253.051f, 92.975f					
12	TRUE	prop_mp_cone_01	200.931f	-750.400f, 5250.958f, 93.446f					
13	TRUE	prop_mp_cone_02	304.887f	1778.495f, -852.458f, 71.902f					
13	TRUE	prop_mp_cone_02	304.887f	1781.375f, -851.981f, 72.047f					
13	TRUE	prop_mp_cone_02	304.887f	1784.758f, -851.954f, 72.307f					
13	TRUE	prop_mp_cone_02	304.887f	1789.258f, -851.176f, 72.610f					
13	TRUE	prop_mp_cone_02	304.887f	1793.686f, -849.214f, 72.909f					
13	TRUE	prop_mp_cone_02	304.887f	1798.126f, -846.093f, 73.222f					
13	TRUE	prop_mp_cone_02	304.887f	1802.314f, -842.988f, 73.545f					
13	TRUE	prop_mp_cone_02	304.887f	1807.342f, -839.245f, 73.933f					
13	TRUE	prop_mp_cone_02	304.887f	1811.109f, -836.408f, 74.240f					
13	TRUE	prop_mp_cone_02	304.887f	1814.606f, -833.964f, 74.517f					
13	TRUE	prop_mp_cone_02	304.887f	1818.075f, -831.166f, 74.813f					
13	TRUE	prop_mp_cone_02	304.887f	1821.634f, -828.664f, 75.106f					
13	TRUE	prop_mp_cone_02	304.887f	1825.500f, -825.722f, 75.445f					
13	TRUE	prop_mp_cone_02	304.887f	1830.865f, -821.552f, 75.922f					
13	TRUE	prop_mp_cone_02	304.887f	1834.354f, -818.831f, 76.242f					
13	TRUE	prop_mp_cone_02	304.887f	1837.943f, -816.358f, 76.554f					
13	TRUE	prop_mp_cone_02	304.887f	1842.144f, -813.250f, 76.934f					
13	TRUE	prop_mp_cone_02	304.887f	1845.759f, -810.501f, 77.273f					
13	TRUE	prop_mp_cone_02	304.887f	1849.279f, -807.825f, 77.603f					
13	TRUE	prop_mp_cone_02	304.887f	1853.005f, -804.994f, 77.957f					
14	TRUE	prop_mp_cone_02	130.072f	2527.803f, 5475.347f, 43.652f					
14	TRUE	prop_mp_cone_02	130.072f	2527.333f, 5481.275f, 43.662f					
14	TRUE	prop_mp_cone_02	130.072f	2527.628f, 5486.286f, 43.690f					
14	TRUE	prop_mp_cone_02	130.072f	2527.214f, 5492.589f, 43.713f					
14	TRUE	prop_mp_cone_02	130.072f	2526.806f, 5498.460f, 43.726f					
14	TRUE	prop_mp_cone_02	130.072f	2525.339f, 5504.960f, 43.743f					
14	TRUE	prop_mp_cone_02	130.072f	2523.352f, 5510.686f, 43.761f					
14	TRUE	prop_mp_cone_02	130.072f	2521.448f, 5515.582f, 43.776f					
14	TRUE	prop_mp_cone_02	130.072f	2519.510f, 5522.218f, 43.795f					
14	TRUE	prop_mp_cone_02	130.072f	2518.088f, 5526.086f, 43.806f					
14	TRUE	prop_mp_cone_02	130.072f	2516.553f, 5530.674f, 43.818f					
14	TRUE	prop_mp_cone_02	130.072f	2514.897f, 5535.162f, 43.830f					
14	TRUE	prop_mp_cone_02	130.072f	2513.074f, 5539.551f, 43.842f					
14	TRUE	prop_mp_cone_02	130.072f	2510.354f, 5547.135f, 43.860f					
14	TRUE	prop_mp_cone_02	130.072f	2508.694f, 5550.833f, 43.869f					
14	TRUE	prop_mp_cone_02	130.072f	2486.226f, 5550.962f, 43.864f					
14	TRUE	prop_mp_cone_02	130.072f	2486.576f, 5546.141f, 43.855f					
14	TRUE	prop_mp_cone_02	130.072f	2488.082f, 5541.285f, 43.847f					
14	TRUE	prop_mp_cone_02	130.072f	2489.287f, 5535.738f, 43.844f					
14	TRUE	prop_mp_cone_02	130.072f	2490.895f, 5530.459f, 43.835f					
15	TRUE	prop_mp_cone_02	130.072f	-449.439f, -511.812f, 24.200f					
15	TRUE	prop_mp_cone_02	130.072f	-453.726f, -510.078f, 24.247f					
15	TRUE	prop_mp_cone_02	130.072f	-456.791f, -508.758f, 24.290f					
15	TRUE	prop_mp_cone_02	130.072f	-459.292f, -507.680f, 24.325f					
15	TRUE	prop_mp_cone_02	130.072f	-462.059f, -506.487f, 24.364f					
15	TRUE	prop_mp_cone_02	130.072f	-465.076f, -505.187f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-467.780f, -504.022f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-470.868f, -502.690f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-474.158f, -501.272f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-477.017f, -500.039f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-479.857f, -499.599f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-483.519f, -499.532f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-487.744f, -499.559f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-491.661f, -499.552f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-495.542f, -499.770f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-500.985f, -499.699f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-506.149f, -499.613f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-511.794f, -499.467f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-516.699f, -499.457f, 24.399f					
15	TRUE	prop_mp_cone_02	130.072f	-521.594f, -499.602f, 24.399f					
16	TRUE	prop_mp_cone_02	87.707f	999.281f, 6501.523f, 20.066f					
16	TRUE	prop_mp_cone_02	87.707f	995.976f, 6499.474f, 20.069f					
16	TRUE	prop_mp_cone_02	87.707f	992.568f, 6497.406f, 20.062f					
16	TRUE	prop_mp_cone_02	87.707f	989.305f, 6495.425f, 20.060f					
16	TRUE	prop_mp_cone_02	87.707f	985.432f, 6493.075f, 20.061f					
16	TRUE	prop_mp_cone_02	87.707f	981.451f, 6492.018f, 20.065f					
16	TRUE	prop_mp_cone_02	87.707f	976.748f, 6492.095f, 20.071f					
16	TRUE	prop_mp_cone_02	87.707f	972.723f, 6492.250f, 20.078f					
16	TRUE	prop_mp_cone_02	87.707f	967.989f, 6492.258f, 20.087f					
16	TRUE	prop_mp_cone_02	87.707f	963.894f, 6492.260f, 20.096f					
16	TRUE	prop_mp_cone_02	87.707f	959.541f, 6492.261f, 20.107f					
16	TRUE	prop_mp_cone_02	87.707f	955.820f, 6492.409f, 20.118f					
16	TRUE	prop_mp_cone_02	87.707f	951.829f, 6492.610f, 20.131f					
16	TRUE	prop_mp_cone_02	87.707f	948.185f, 6492.730f, 20.144f					
16	TRUE	prop_mp_cone_02	87.707f	943.749f, 6492.859f, 20.162f					
16	TRUE	prop_mp_cone_02	87.707f	940.076f, 6492.995f, 20.178f					
16	TRUE	prop_mp_cone_02	87.707f	936.121f, 6493.126f, 20.197f					
16	TRUE	prop_mp_cone_02	87.707f	932.535f, 6493.167f, 20.217f					
16	TRUE	prop_mp_cone_02	87.707f	928.709f, 6493.282f, 20.238f					
16	TRUE	prop_mp_cone_02	87.707f	924.925f, 6493.444f, 20.262f					
31	FALSE	prop_hifi_01	20f	-1017.889f, 771.0f, 170.3f					
31	FALSE	prop_hifi_01	20f	-1014.034f, 772.2f, 170.3f					
31	FALSE	prop_office_desk_01	200f	-1016.105f, 771.7f, 170.3f					
31	FALSE	prop_dj_deck_02	20f	-1016.3f, 771.4f, 171f					
32	FALSE	prop_hifi_01	10f	-1926.191f, 397.574f, 95.483f					
32	FALSE	prop_hifi_01	10f	-1930.007f, 397f, 95.483f					
32	FALSE	prop_office_desk_01	10f	-1927.977f, 397f, 95.483f					
32	FALSE	prop_dj_deck_02	10f	-1928.277f, 397f, 96.207f					
33	FALSE	prop_hifi_01	210.396f	25.195f, 532.376f, 169.6f					
33	FALSE	prop_hifi_01	111.776f	22.283f, 533.875f, 169.6f					
33	FALSE	prop_office_desk_01	296.470f	23.760f, 532.702f, 169.6f					
33	FALSE	prop_dj_deck_02	296.470f	23.560f, 532.702f, 170.3f					
34	FALSE	prop_hifi_01	8.90f	893.99f, -476.19f, 58.10f					
34	FALSE	prop_hifi_01	34.01f	899.30f, -474.26f, 58.50f					
34	FALSE	prop_office_desk_01	25.00f	895.03f, -475.76f, 58.05f					
34	FALSE	prop_dj_deck_02	25.00f	894.58f, -475.97f, 58.75f					
35	FALSE	prop_hifi_01	216.423f	-1904.309f, -577.434f, 21.9f					
35	FALSE	prop_hifi_01	227.252f	-1906.014f, -579.238f, 21.9f					
35	FALSE	prop_office_desk_01	231f	-1905.265f, -578.224f, 21.9f					
35	FALSE	prop_dj_deck_02	231f	-1905.0f, -578.0f, 22.6f					
36	FALSE	prop_hifi_01	112f	-3007.525f, 753.328f, 26.6f					
36	FALSE	prop_hifi_01	112f	-3009.030f, 757.051f, 26.6f					
36	FALSE	prop_office_desk_01	112f	-3007.979f, 755.160f, 26.6f					
36	FALSE	prop_dj_deck_02	112f	-3007.679f, 754.8f, 27.3f					
37	FALSE	prop_hifi_01	45f	-204.305f, 6382.048f, 30.833f					
37	FALSE	prop_hifi_01	160.628f	-200.740f, 6383.517f, 30.833f					
37	FALSE	prop_office_desk_01	45f	-203.132f, 6383.193f, 30.833f					
37	FALSE	prop_dj_deck_02	45f	-203.332f, 6382.993f, 31.533f					
									
HUMANS	Type	ModelName	Heading	Position	AnimDir	AnimName	AnimFlag	Id	
1	COP	Model.Ped1	247.183f	-1045.254f, 1183.144f, 216.830f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	1	
1	COP	Model.Ped2	276.67f	-1063.37f, 1178.48f, 215.98f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	2	
1	CIVILIAN	a_m_y_ktown_02	21.609f	-1052.018f, 1183.869f, 216.535f	friends@frt@ig_1	trevor_impatient_wait_4	Loop	3	
1	CIVILIAN	s_m_y_garbage	292.99f	-1060.13f, 1183.09f, 216.38f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	4	
1	MEDIC	Model.Ped3	198.840f	-1052.047f, 1184.679f, 216.602f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
2	COP	Model.Ped1	263.418f	2337.813f, 5225.198f, 59.880f	amb@world_human_cop_idles@male@idle_a	idle_a	Loop	1	
2	COP	Model.Ped2	80.129f	2317.369f, 5216.044f, 59.661f	amb@world_human_stand_guard@male@idle_a	idle_a	Loop	2	
2	CIVILIAN	a_m_y_eastsa_02	271.579f	2321.593f, 5214.175f, 59.696f	friends@frt@ig_1	trevor_impatient_wait_4	Loop	3	
2	CIVILIAN	s_m_m_dockwork_01	 134.358f	2316.845f, 5218.127f, 59.903f	amb@world_human_guard_patrol@male@idle_b	idle_e	Loop	4	
2	MEDIC	Model.Ped3	79.519f	2323.364f, 5213.459f, 59.814f	missfbi3_party_d	stand_talk_loop_b_male1	Loop	5	
